gene_stable_id,gene_name
ENSDARG00000031161,nr1d4a
ENSDARG00000031198,hmg20a
ENSDARG00000031222,lhx2b
ENSDARG00000031307,zic4
ENSDARG00000031316,six6b
ENSDARG00000031337,hoxa10b
ENSDARG00000031387,cers4a
ENSDARG00000031647,stat2
ENSDARG00000031664,sox21a
ENSDARG00000031680,ercc1
ENSDARG00000031683,fosab
ENSDARG00000031756,mef2aa
ENSDARG00000031763,smad6b
ENSDARG00000031768,roraa
ENSDARG00000031777,pparaa
ENSDARG00000031848,pparg
ENSDARG00000031894,lef1
ENSDARG00000031983,six4b
ENSDARG00000032129,gtf2f1
ENSDARG00000032578,pax2b
ENSDARG00000032637,si:dkey-261m9.12
ENSDARG00000032705,foxg1b
ENSDARG00000032963,her12
ENSDARG00000033009,h3f3c
ENSDARG00000033012,pcnt
ENSDARG00000033160,nr1d1
ENSDARG00000033231,mcm6l
ENSDARG00000033498,rorb
ENSDARG00000033647,smarcb1a
ENSDARG00000033971,prrx1a
ENSDARG00000034043,irx5a
ENSDARG00000034117,rarga
ENSDARG00000034181,esr2b
ENSDARG00000034195,top2b
ENSDARG00000034420,irx6a
ENSDARG00000034893,rarab
ENSDARG00000035066,ubtf
ENSDARG00000035074,rtel1
ENSDARG00000035127,rxrab
ENSDARG00000035146,polr2j
ENSDARG00000035330,taf1
ENSDARG00000035508,barhl1a
ENSDARG00000035519,histh1l
ENSDARG00000035559,tp53
ENSDARG00000035634,rfc5
ENSDARG00000035648,irx4a
ENSDARG00000035680,zgc:113424
ENSDARG00000035732,arntl1b
ENSDARG00000035735,gsx1
ENSDARG00000035823,zmym4
ENSDARG00000035887,zgc:91944
ENSDARG00000035984,mnx1
ENSDARG00000036051,irx4b
ENSDARG00000036074,cebpa
ENSDARG00000036096,smad3a
ENSDARG00000036168,nfatc1
ENSDARG00000036194,pitx2
ENSDARG00000036254,hoxa13b
ENSDARG00000036292,cdx4
ENSDARG00000036337,cers3b
ENSDARG00000036542,pknox1.2
ENSDARG00000036569,bach2a
ENSDARG00000036593,kdm2ba
ENSDARG00000036625,polr2f
ENSDARG00000036791,dnmt3bb.1
ENSDARG00000036816,pou2f2a
ENSDARG00000036868,tbpl1
ENSDARG00000036930,tbx18
ENSDARG00000036956,asxl1
ENSDARG00000037009,banf1
ENSDARG00000037046,rad51b
ENSDARG00000037073,si:dkey-60a16.1
ENSDARG00000037178,zic2b
ENSDARG00000037188,rpa2
ENSDARG00000037192,zgc:113364
ENSDARG00000037196,arid5b
ENSDARG00000037383,pax5
ENSDARG00000037397,ssrp1a
ENSDARG00000037532,mcm3l
ENSDARG00000037570,polr1d
ENSDARG00000037639,nkx3-2
ENSDARG00000037760,uncx4.1
ENSDARG00000037782,sox8b
ENSDARG00000037833,mitfb
ENSDARG00000037872,foxk1
ENSDARG00000037964,lhx2a
ENSDARG00000038133,zgc:113411
ENSDARG00000038141,atf4b
ENSDARG00000038205,her2
ENSDARG00000038559,h1-0
ENSDARG00000038672,tcf7
ENSDARG00000038687,nfkb2
ENSDARG00000038780,ubtfl
ENSDARG00000038792,klf17
ENSDARG00000038812,e2f5
ENSDARG00000038868,en2b
ENSDARG00000039095,nkx2.3
ENSDARG00000039116,nr5a5
ENSDARG00000039117,tefa
ENSDARG00000039185,nfyba
ENSDARG00000039217,orc1
ENSDARG00000039302,terfa
ENSDARG00000039304,six1a
ENSDARG00000039350,ssbp1
ENSDARG00000039400,polr1c
ENSDARG00000039412,dmrta2
ENSDARG00000039458,lhx4
ENSDARG00000039569,emx1
ENSDARG00000039613,poll
ENSDARG00000039701,emx2
ENSDARG00000039754,xpc
ENSDARG00000039756,prop1
ENSDARG00000040041,mcm4
ENSDARG00000040080,fli1b
ENSDARG00000040123,zfpm2a
ENSDARG00000040135,fosaa
ENSDARG00000040137,jdp2a
ENSDARG00000040161,zgc:92287
ENSDARG00000040237,mef2d
ENSDARG00000040253,onecutl
ENSDARG00000040261,runx2a
ENSDARG00000040321,rx2
ENSDARG00000040487,zgc:113176
ENSDARG00000040606,tfap2c
ENSDARG00000040623,fosl2
ENSDARG00000040911,meox2a
ENSDARG00000040917,cbfb
ENSDARG00000040926,nr2f2
ENSDARG00000040955,dharma
ENSDARG00000041080,thap3
ENSDARG00000041098,barx2
ENSDARG00000041243,setdb1a
ENSDARG00000041359,zgc:161969
ENSDARG00000041381,arntl2
ENSDARG00000041411,rad51
ENSDARG00000041572,zfpm1
ENSDARG00000041691,bhlhe41
ENSDARG00000041702,rfx6
ENSDARG00000041952,prox2
ENSDARG00000042004,nfya
ENSDARG00000042027,prrx1b
ENSDARG00000042032,pou3f3a
ENSDARG00000042045,hmg20b
ENSDARG00000042054,zgc:171971
ENSDARG00000042106,mnx2a
ENSDARG00000042145,lhx8b
ENSDARG00000042180,foxl2a
ENSDARG00000042291,dlx6a
ENSDARG00000042296,dlx5a
ENSDARG00000042337,chrac1
ENSDARG00000042458,rfc4
ENSDARG00000042477,nr2c2
ENSDARG00000042485,foxd5
ENSDARG00000042492,si:dkey-250d21.1
ENSDARG00000042525,ebf2
ENSDARG00000042526,sebox
ENSDARG00000042577,batf3
ENSDARG00000042637,tert
ENSDARG00000042725,cebpb
ENSDARG00000042824,nfe2l2a
ENSDARG00000042826,egr2b
ENSDARG00000042835,tfdp2
ENSDARG00000042881,nthl1
ENSDARG00000042904,foxo3b
ENSDARG00000043210,nfic
ENSDARG00000043249,irf1b
ENSDARG00000043322,gsx2
ENSDARG00000043483,otx5
ENSDARG00000043531,jun
ENSDARG00000043553,ches1
ENSDARG00000043873,arid4a
ENSDARG00000043923,sox9b
ENSDARG00000043973,znf292b
ENSDARG00000044155,mafaa
ENSDARG00000044301,atf1
ENSDARG00000044356,tp63
ENSDARG00000044375,zgc:158291
ENSDARG00000044511,etv5b
ENSDARG00000044525,pparda
ENSDARG00000044532,nr4a2b
ENSDARG00000044622,polq
ENSDARG00000044669,hp1bp3
ENSDARG00000044774,pou5f3
ENSDARG00000045094,si:dkey-222b8.1
ENSDARG00000045105,foxn2b
ENSDARG00000045248,h3f3d
ENSDARG00000045308,pola1
ENSDARG00000045413,gcm2
ENSDARG00000045527,nr2c1
ENSDARG00000045556,OTUD7A
ENSDARG00000045611,nfybb
ENSDARG00000045661,irf7
ENSDARG00000045681,irf5
ENSDARG00000045695,myca
ENSDARG00000045768,cry1a
ENSDARG00000045843,apex1
ENSDARG00000045936,pax6b
ENSDARG00000046010,kdm2bb
ENSDARG00000051718,si:ch211-113a14.24
ENSDARG00000051729,nfatc3b
ENSDARG00000051735,si:ch211-113a14.18
ENSDARG00000051736,hist1h2a4
ENSDARG00000051737,
ENSDARG00000051854,cdt1
ENSDARG00000051926,plag1
ENSDARG00000052091,rbpjb
ENSDARG00000052115,ehf
ENSDARG00000052121,rag2
ENSDARG00000052122,rag1
ENSDARG00000052150,pbx4
ENSDARG00000052165,LHX6
ENSDARG00000052348,smarca5
ENSDARG00000052387,pou2f3
ENSDARG00000052402,dnmt3ba
ENSDARG00000052553,lig3
ENSDARG00000052618,ahrrb
ENSDARG00000052654,thrab
ENSDARG00000052721,prim2
ENSDARG00000052826,runx3
ENSDARG00000052827,top3a
ENSDARG00000052833,zfand3
ENSDARG00000052893,rx3
ENSDARG00000053097,hsf2
ENSDARG00000053298,nkx2.2a
ENSDARG00000053364,pax10
ENSDARG00000053446,sub1a
ENSDARG00000053499,isl2b
ENSDARG00000053583,cers6
ENSDARG00000053586,creb1a
ENSDARG00000053650,foxb1b
ENSDARG00000053666,myb
ENSDARG00000053829,pax9
ENSDARG00000053868,etv2
ENSDARG00000053918,srfa
ENSDARG00000053990,hmgb2b
ENSDARG00000054003,rargb
ENSDARG00000054025,hoxb8b
ENSDARG00000054030,hoxb5b
ENSDARG00000054033,hoxb1b
ENSDARG00000054058,h1-10
ENSDARG00000054155,pcna
ENSDARG00000054162,nfatc4
ENSDARG00000054304,homeza
ENSDARG00000054307,zgc:77151
ENSDARG00000054323,pparab
ENSDARG00000054632,fli1a
ENSDARG00000054799,rfc1
ENSDARG00000054878,six2b
ENSDARG00000054879,six3b
ENSDARG00000055158,prox1a
ENSDARG00000055162,zhx2a
ENSDARG00000055276,rel
ENSDARG00000055349,pknox2
ENSDARG00000055359,sp100.1
ENSDARG00000055374,irf4b
ENSDARG00000055429,kat6b
ENSDARG00000055481,atf7b
ENSDARG00000055493,hic1
ENSDARG00000055574,FOXN2
ENSDARG00000055588,stat5b
ENSDARG00000055630,foxh1
ENSDARG00000055690,CU655961.1
ENSDARG00000055750,foxp3a
ENSDARG00000055751,fosb
ENSDARG00000055792,foxo4
ENSDARG00000055798,heyl
ENSDARG00000055854,nr4a3
ENSDARG00000055883,dmc1
ENSDARG00000055926,foxi3a
ENSDARG00000055969,rfc3
ENSDARG00000056012,eve1
ENSDARG00000056015,hoxb13a
ENSDARG00000056023,hoxb9a
ENSDARG00000056027,hoxb8a
ENSDARG00000056030,hoxb7a
ENSDARG00000056079,l3mbtl2
ENSDARG00000056213,si:ch73-130a3.4
ENSDARG00000056226,creb3l3a
ENSDARG00000056292,vsx1
ENSDARG00000056395,onecut3a
ENSDARG00000056400,helt
ENSDARG00000056407,irf8
ENSDARG00000056438,her9
ENSDARG00000056594,irx1b
ENSDARG00000056695,phc2a
ENSDARG00000056729,her4.2
ENSDARG00000056732,her4.1
ENSDARG00000056783,raraa
ENSDARG00000056784,aire
ENSDARG00000056819,hoxa9b
ENSDARG00000056832,exo1
ENSDARG00000056979,lhx9
ENSDARG00000057093,kdm5ba
ENSDARG00000057231,rorca
ENSDARG00000057323,e2f8
ENSDARG00000057527,mef2ab
ENSDARG00000057562,polr3c
ENSDARG00000057649,satb1a
ENSDARG00000057652,dbpb
ENSDARG00000057683,mcm6
ENSDARG00000057737,rxraa
ENSDARG00000057738,hells
ENSDARG00000057741,nr1h4
ENSDARG00000057782,baz2ba
ENSDARG00000057830,dnmt3bb.2
ENSDARG00000057859,hoxd10a
ENSDARG00000057863,dnmt3bb.3
ENSDARG00000057936,lhx5
ENSDARG00000058004,six2a
ENSDARG00000058008,six3a
ENSDARG00000058011,arxa
ENSDARG00000058133,foxd2
ENSDARG00000058203,smc1al
ENSDARG00000058349,polr2l
ENSDARG00000058379,otpb
ENSDARG00000058479,zgc:110425
ENSDARG00000058480,chtf18
ENSDARG00000058533,pole
ENSDARG00000058598,sox18
ENSDARG00000058702,vax2
ENSDARG00000058710,terf1
ENSDARG00000058801,rev3l
ENSDARG00000058924,pou1f1
ENSDARG00000058978,zgc:113423
ENSDARG00000058992,cers2b
ENSDARG00000059073,gsc
ENSDARG00000059130,gata1b
ENSDARG00000059233,runx2b
ENSDARG00000059255,evx2
ENSDARG00000059256,hoxd13a
ENSDARG00000059263,hoxd12a
ENSDARG00000059267,hoxd11a
ENSDARG00000059274,hoxd9a
ENSDARG00000059276,hoxd4a
ENSDARG00000059279,tfap2a
ENSDARG00000059280,hoxd3a
ENSDARG00000059327,gata2a
ENSDARG00000059337,tgif1
ENSDARG00000059370,nr1d4b
ENSDARG00000059483,tead1b
ENSDARG00000059581,mbd5
ENSDARG00000059653,kdm2aa
ENSDARG00000059836,ddit3
ENSDARG00000059963,polk
ENSDARG00000060041,lig1
ENSDARG00000060089,btaf1
ENSDARG00000060506,sos2
ENSDARG00000060529,nkx6.3
ENSDARG00000060620,lig4
ENSDARG00000060697,kmt2bb
ENSDARG00000060734,hesx1
ENSDARG00000060862,atxn1b
ENSDARG00000060925,jarid2a
ENSDARG00000060937,adnp2a
ENSDARG00000060951,polg
ENSDARG00000061011,hlfb
ENSDARG00000061509,tbx3b
ENSDARG00000061547,zgc:153409
ENSDARG00000061687,atxn1a
ENSDARG00000061774,mbd3a
ENSDARG00000061810,mbd3b
ENSDARG00000061818,meox2b
ENSDARG00000061836,nfixb
ENSDARG00000061885,satb2
ENSDARG00000062002,adnpa
ENSDARG00000062060,gmeb1
ENSDARG00000062268,jarid2b
ENSDARG00000062269,fan1
ENSDARG00000062361,paxbp1
ENSDARG00000062553,bach1a
ENSDARG00000062621,satb1b
ENSDARG00000062646,tet3
ENSDARG00000062824,alx1
ENSDARG00000062892,foxe3
ENSDARG00000062915,polr3b
ENSDARG00000062962,kmt2ba
ENSDARG00000062983,fbxo18
ENSDARG00000063186,BEND7
ENSDARG00000063255,btbd11a
ENSDARG00000063258,rfx5
ENSDARG00000063276,msh3
ENSDARG00000063417,erf
ENSDARG00000063649,tead3b
ENSDARG00000067591,puraa
ENSDARG00000067658,BX470189.1
ENSDARG00000067729,arid3c
ENSDARG00000067850,jund
ENSDARG00000067913,ints9
ENSDARG00000067976,ar
ENSDARG00000068365,lmx1bb
ENSDARG00000068406,six5
ENSDARG00000068407,six9
ENSDARG00000068417,foxl2b
ENSDARG00000068428,si:ch211-153j24.3
ENSDARG00000068434,h3f3b.1
ENSDARG00000068436,si:ch1073-429i10.3
ENSDARG00000068820,h2az2a
ENSDARG00000068822,purba
ENSDARG00000068919,rad51c
ENSDARG00000068941,zgc:113983
ENSDARG00000068976,bsx
ENSDARG00000068995,h2ax1
ENSDARG00000068996,hist2h2l
ENSDARG00000069074,cry3a
ENSDARG00000069196,ebf1b
ENSDARG00000069252,mixl1
ENSDARG00000069266,esrra
ENSDARG00000069274,ighmbp2
ENSDARG00000069289,gabpa
ENSDARG00000069326,mus81
ENSDARG00000069327,nkx3.3
ENSDARG00000069329,drgx
ENSDARG00000069382,mxtx1
ENSDARG00000069675,her8.2
ENSDARG00000069715,foxi2
ENSDARG00000069726,glis3
ENSDARG00000069729,mpg
ENSDARG00000069737,pou4f2
ENSDARG00000069763,etv5a
ENSDARG00000069910,gtf2f2a
ENSDARG00000069912,hmga2
ENSDARG00000069988,arid6
ENSDARG00000070013,dmrt2b
ENSDARG00000070069,pitx3
ENSDARG00000070098,lcorl
ENSDARG00000070107,six7
ENSDARG00000070108,dek
ENSDARG00000070151,nfyc
ENSDARG00000070220,pou3f2a
ENSDARG00000070280,hist1h2a3
ENSDARG00000070289,si:ch211-113a14.22
ENSDARG00000070297,CR354435.1
ENSDARG00000070337,hoxc1a
ENSDARG00000070338,hoxc4a
ENSDARG00000070339,hoxc3a
ENSDARG00000070340,hoxc5a
ENSDARG00000070343,hoxc6a
ENSDARG00000070346,hoxc8a
ENSDARG00000070348,hoxc10a
ENSDARG00000070351,hoxc11a
ENSDARG00000070352,hoxc12a
ENSDARG00000070353,hoxc13a
ENSDARG00000070428,si:dkey-222b8.1
ENSDARG00000070432,ino80
ENSDARG00000070458,zgc:153292
ENSDARG00000070463,e2f3
ENSDARG00000070465,si:dkey-13n23.3
ENSDARG00000070538,hey1
ENSDARG00000070542,mafbb
ENSDARG00000070545,top1l
ENSDARG00000070568,atad5a
ENSDARG00000070704,thap7
ENSDARG00000070721,vdrb
ENSDARG00000070769,foxg1a
ENSDARG00000070770,her4.3
ENSDARG00000070818,pax7b
ENSDARG00000070843,arid3a
ENSDARG00000070845,si:dkey-56d12.4
ENSDARG00000070913,sox2
ENSDARG00000070951,hmga1b
ENSDARG00000070954,hmx2
ENSDARG00000070955,hmx3a
ENSDARG00000070959,si:ch211-288g17.3
ENSDARG00000070981,ash1l
ENSDARG00000071116,eepd1
ENSDARG00000071394,foxq2
ENSDARG00000071418,gbx1
ENSDARG00000071496,zic6
ENSDARG00000071497,zic3
ENSDARG00000071551,xrcc6
ENSDARG00000071560,dlx4b
ENSDARG00000071565,hnf4g
ENSDARG00000071684,rx1
ENSDARG00000071733,si:ch211-207i20.3
ENSDARG00000071868,znf711
ENSDARG00000073814,pax1b
ENSDARG00000073944,si:ch73-386h18.1
ENSDARG00000073957,tox3
ENSDARG00000074012,si:ch1073-159d7.7
ENSDARG00000074030,myt1a
ENSDARG00000074070,irx5b
ENSDARG00000074148,rbpjl
ENSDARG00000074274,POLR2E
ENSDARG00000074293,adnpb
ENSDARG00000074326,mcm8
ENSDARG00000074378,junba
ENSDARG00000074410,brip1
ENSDARG00000074442,alx4b
ENSDARG00000074453,zfx
ENSDARG00000074752,hlfa
ENSDARG00000074889,CT025742.1
ENSDARG00000075083,prkdc
